Sample alias," ""First Fastq File"""," ""First Checksum"""," ""First Unencrypted checksum"""," ""Second Fastq File"""," ""Second Checksum"""," ""Second Unencrypted checksum"""
run2_S61,run2_61_S61_L001_R1_001.fastq.gz,,,run2_61_S61_L001_R2_001.fastq.gz,,
run8_S78,run8_78_S78_L001_R1_001.fastq.gz,,,run8_78_S78_L001_R2_001.fastq.gz,,
run6_S93,run6_93_S93_L001_R1_001.fastq.gz,,,run6_93_S93_L001_R2_001.fastq.gz,,
run8_S14,run8_14_S14_L001_R1_001.fastq.gz,,,run8_14_S14_L001_R2_001.fastq.gz,,
run2_S30,run2_30_S30_L001_R1_001.fastq.gz,,,run2_30_S30_L001_R2_001.fastq.gz,,
run3_S614,run3_614_S614_L001_R1_001.fastq.gz,,,run3_614_S614_L001_R2_001.fastq.gz,,
run1_S26,run1_26_S26_L001_R1_001.fastq.gz,,,run1_26_S26_L001_R2_001.fastq.gz,,
run9_S43,run9_43_S43_L001_R1_001.fastq.gz,,,run9_43_S43_L001_R2_001.fastq.gz,,
run9_S16,run9_16_S16_L001_R1_001.fastq.gz,,,run9_16_S16_L001_R2_001.fastq.gz,,
run4_S22,run4_22_S22_L001_R1_001.fastq.gz,,,run4_22_S22_L001_R2_001.fastq.gz,,
run1_S39,run1_39_S39_L001_R1_001.fastq.gz,,,run1_39_S39_L001_R2_001.fastq.gz,,
run4_S43,run4_43_S43_L001_R1_001.fastq.gz,,,run4_43_S43_L001_R2_001.fastq.gz,,
run3_S42,run3_42_S42_L001_R1_001.fastq.gz,,,run3_42_S42_L001_R2_001.fastq.gz,,
run4_S16,run4_16_S16_L001_R1_001.fastq.gz,,,run4_16_S16_L001_R2_001.fastq.gz,,
run3_S70,run3_70_S70_L001_R1_001.fastq.gz,,,run3_70_S70_L001_R2_001.fastq.gz,,
run9_S45,run9_45_S45_L001_R1_001.fastq.gz,,,run9_45_S45_L001_R2_001.fastq.gz,,
